name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Hobe Meats,Phoenix,AZ,,butchers,best_of_city_list,https://butcherbud.com/butcher-shops/arizona/phoenix,"Named among top Phoenix butcher shops; long-standing prime-beef specialist butcher.",2026-06-12
Forbes Meat Company,Tucson,AZ,,butchers,best_of_city_list,https://www.yelp.com/search?find_desc=Butcher+Shop&find_loc=Tucson%2C+AZ,"Top-rated Tucson craft butcher with in-house sausage making; praised for owner's passion for the craft.",2026-06-12
Lomo Premium Meats,Tucson,AZ,,butchers,best_of_city_list,https://www.yelp.com/search?find_desc=Butcher+Shop&find_loc=Tucson%2C+AZ,"Listed among Tucson's top butcher shops with premium-meat positioning.",2026-06-12
Coppa Butchery,Spokane,WA,,butchers,best_of_city_list,https://www.yelp.com/search?cflt=butcher&find_loc=Spokane%2C+WA,"Spokane craft butchery where everything is made in-house, including bread; praised for fresh-ground beef and value.",2026-06-12
Blue Max Meats,Tacoma,WA,,butchers,best_of_city_list,https://www.yelp.com/search?cflt=butcher&find_loc=Tacoma%2C+WA,"Named among Tacoma's best butcher shops; traditional butcher with house-made sausage and smoked meats.",2026-06-12
Meat the Live Butcher,Tacoma,WA,,butchers,best_of_city_list,https://www.yelp.com/search?cflt=butcher&find_loc=Tacoma%2C+WA,"Listed among the best butcher options in Tacoma; independent craft butcher counter.",2026-06-12
Beasts & Brews,Colorado Springs,CO,,butchers,best_of_city_list,https://gazette.com/life/find-quality-meat-in-colorado-springs-from-nearby-ranches-farms-and-butcher-shops/article_88ab646e-93c9-11ea-9ddf-47aa43c8770c.html,"Full-service Colorado Springs butcher shop stocked with Colorado-sourced meat; whole animals aged and processed in-house.",2026-06-12
SALT Craft Meat Market,Colorado Springs,CO,,butchers,best_of_city_list,https://butcherbud.com/butcher-shops/colorado/colorado-springs,"Named among the best butchers in Colorado Springs; craft meat market positioning.",2026-06-12
The Country Butcher,Tolland,CT,https://countrybutcherct.com/,butchers,small_market_local_dominance,https://countrybutcherct.com/,"Family butcher since 1989 specializing in Aberdeen Angus beef and heritage-breed hogs.",2026-06-12
New Canaan Butcher Shop,New Canaan,CT,,butchers,best_of_city_list,https://www.ctbites.com/blog/2024/4/14/butchers,"Featured in CT Bites butcher guide; best sellers include prime, grass-fed and dry-aged meats in affluent New Canaan.",2026-06-12
Ridgefield Prime,Ridgefield,CT,,butchers,best_of_city_list,https://www.ctbites.com/blog/2024/4/14/butchers,"CT Bites butcher guide entry selling USDA prime, all-natural grass-fed beef and dry-aged steak.",2026-06-12
Lee's Carroll's Meat Shoppe,Jacksonville,FL,,butchers,best_of_city_list,https://jacksonvillehits.com/best-butcher-in-jacksonville,"Named the best butcher in Jacksonville; steaks plus artisanal sausages with staff passionate about quality.",2026-06-12
Meat Wonderfood Butcher Shop,Orlando,FL,,butchers,best_of_city_list,https://www.yelp.com/search?find_desc=Butcher+Shop&find_loc=Orlando%2C+FL,"Top Orlando butcher shop carrying select, prime and certified wagyu beef.",2026-06-12
Ogeechee Meat Market,Savannah,GA,,butchers,best_of_city_list,https://www.connectsavannah.com/food-and-drink/food-5481304,"Family-run Savannah nose-to-tail shop buying whole animals from local farms and making sausage, bacon and lunchmeat in-house.",2026-06-12
Hunter Cattle Co.,Brooklet,GA,https://huntercattle.com/,butchers,small_market_local_dominance,https://huntercattle.com/,"Grass-fed beef farm near Savannah with a real retail farm store; praised for quality, atmosphere and variety.",2026-06-12
The Fat Calf,Tulsa,OK,,butchers,best_of_city_list,https://www.yelp.com/search?cflt=butcher&find_loc=Tulsa%2C+OK,"Named among Tulsa's top craft butcher shops.",2026-06-12
Siegi's Sausage Factory,Tulsa,OK,,butchers,best_of_city_list,https://findthemarkets.com/meat/meat-markets-in-tulsa/,"Tulsa institution crafting traditional Austrian-style sausages in-house since the 1980s.",2026-06-12
Harvard Meats,Tulsa,OK,,butchers,best_of_city_list,https://findthemarkets.com/meat/meat-markets-in-tulsa/,"Family-owned Tulsa butcher known for USDA-certified beef, free-range poultry and an extensive specialty sausage variety.",2026-06-12
Tulsa Beef & Provision,Tulsa,OK,,butchers,best_of_city_list,https://findthemarkets.com/meat/meat-markets-in-tulsa/,"Founded 1935; legacy Tulsa butcher supplying residents and restaurants with top-quality beef.",2026-06-12
Cusack Meats,Oklahoma City,OK,,butchers,best_of_city_list,https://butcherbud.com/butcher-shops/oklahoma/oklahoma-city,"Legacy family OKC butcher highlighted among the city's top shops; known for smoked meats and quality beef.",2026-06-12
