name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Di Palo's Fine Foods,New York,NY,,cheese,best_of_city_list,https://devourtours.com/blog/cheese-shops-nyc/,"Little Italy Italian-cheese specialist at 200 Grand St, featured in '9 Amazing Cheese Shops in NYC' guide",2026-06-12
Ideal Cheese Shop,New York,NY,,cheese,best_of_city_list,https://frenchly.us/5-best-cheese-new-york/,"Midtown East institution stocking 200+ cheeses from 17 countries, named among NYC's best cheese shops",2026-06-12
Saxelby Cheesemongers,New York,NY,https://saxelbycheese.com,cheese,existing_club_transition,https://saxelbycheese.com/products/saxelby_cheese_of_the_month,First all-American artisanal cheese shop in the US runs a monthly cheese club shipping three hand-crafted cheeses,2026-06-12
Bedford Cheese Shop,New York,NY,,cheese,best_of_city_list,https://www.timeout.com/newyork/shopping/best-cheese-shops-in-nyc,Gramercy Park cheesemonger featured in Time Out's roundup of every NYC cheese shop worth visiting,2026-06-12
Astoria Bier & Cheese,Astoria,NY,,cheese,best_of_city_list,https://devourtours.com/blog/cheese-shops-nyc/,"Cut-to-order cheese counter plus craft beer in Western Queens, featured in NYC cheese-shop roundups",2026-06-12
Casa Della Mozzarella,Bronx,NY,,cheese,best_of_city_list,https://www.cheeseconnoisseur.com/new-york-city/,"Arthur Avenue stretched-curd specialist making mozzarella in-house, cited in Cheese Connoisseur's NYC guide",2026-06-12
BKLYN Larder,Brooklyn,NY,https://www.bklynlarder.com,cheese,existing_club_transition,https://www.bklynlarder.com/pages/cheese-of-the-month-club,Park Slope provisions shop runs a Cheese of the Month Club where mongers pick three peak-condition cheeses monthly,2026-06-12
Léa Fromages,Brooklyn,NY,,cheese,best_of_city_list,https://www.yelp.com/search?cflt=cheese&find_loc=Brooklyn%2C+NY,"Brooklyn fromagerie with vast cheese selection, ranked among Brooklyn's best cheese shops",2026-06-12
Eastern District,Brooklyn,NY,,cheese,best_of_city_list,https://www.yelp.com/search?cflt=cheese&find_loc=Brooklyn%2C+NY,Greenpoint cheese and craft-beer specialty shop ranked among Brooklyn's top cheese shops,2026-06-12
Monger's Palate,Brooklyn,NY,,cheese,best_of_city_list,https://www.yelp.com/search?cflt=cheese&find_loc=Brooklyn%2C+NY,Independent Brooklyn cheesemonger ranked among the borough's best cheese shops,2026-06-12
Cheese & Things,Brooklyn,NY,,cheese,best_of_city_list,https://www.yelp.com/search?cflt=cheese&find_loc=Brooklyn%2C+NY,Brooklyn cheese shop ranked among the borough's best cheese shops,2026-06-12
Lioni Latticini,Brooklyn,NY,,cheese,best_of_city_list,https://www.yelp.com/search?cflt=cheese&find_loc=Brooklyn%2C+NY,"Fresh-mozzarella latticini with Brooklyn retail storefront, ranked among the borough's best cheese shops",2026-06-12
Cheesemongers of Sherman Oaks,Sherman Oaks,CA,,cheese,best_of_city_list,https://laist.com/news/food/best-cheese-shops-in-los-angeles,Cut-to-order shop selling cheese at peak condition; co-owner previously worked for Cowgirl Creamery,2026-06-12
Andrew's Cheese Shop,Santa Monica,CA,https://andrewscheese.com,cheese,best_of_city_list,https://andrewscheese.com/,Cut-to-order artisan cheese shop highlighting small producers and independent cheesemakers in Santa Monica,2026-06-12
Say Cheese,Los Angeles,CA,,cheese,best_of_city_list,https://www.laweekly.com/here-they-are-the-best-cheese-shops-in-los-angeles/,"Silver Lake shop where cheese is 100% cut to order with full service, named among LA's best cheese shops",2026-06-12
The Cheese Store of Beverly Hills,Beverly Hills,CA,,cheese,best_of_city_list,https://www.thedailymeal.com/travel/best-los-angeles-cheese-shops/,"Open since 1967 with 300-500 cheeses plus wine, charcuterie and truffles; an LA best-of fixture",2026-06-12
Milkfarm,Los Angeles,CA,,cheese,best_of_city_list,https://www.theinfatuation.com/los-angeles/guides/best-cheese-and-charcuterie-in-LA,Eagle Rock monger with one of LA's best cheese selections and staff versed in each cheese's production,2026-06-12
Cheese Plus,San Francisco,CA,,cheese,best_of_city_list,https://www.7x7.com/the-best-cheese-in-sf-recommendations-from-local-cheese-shops-1781324599.html,"Polk Street cheese destination since 2005 with massive cheese, charcuterie and specialty selection",2026-06-12
Cheese Boutique,San Francisco,CA,,cheese,best_of_city_list,https://devourtours.com/blog/san-francisco-cheese-shops/,"Glen Park shop curating 100+ domestic and international cheeses, named among SF's best cheese shops",2026-06-12
Mission Bay Wine & Cheese,San Francisco,CA,,cheese,best_of_city_list,https://devourtours.com/blog/san-francisco-cheese-shops/,"Wine-and-cheese shop co-run by a Master Sommelier, named among SF's best cheese shops",2026-06-12
24th Street Cheese Company,San Francisco,CA,,cheese,best_of_city_list,https://devourtours.com/blog/san-francisco-cheese-shops/,Noe Valley cut-cheese institution featured in Devour's San Francisco cheese shop guide,2026-06-12
Little Vine,San Francisco,CA,,cheese,best_of_city_list,https://devourtours.com/blog/san-francisco-cheese-shops/,North Beach European-style shop with 75+ cheeses and 300 wines,2026-06-12
The Cheese Board Collective,Berkeley,CA,,cheese,best_of_city_list,https://www.mashed.com/1590701/best-cheese-shops-america/,Worker-owned co-op since 1967 selling 400 locally and internationally sourced cheeses; named among America's best cheese shops,2026-06-12
Bowers Fancy Dairy Products,Washington,DC,https://bowerscheese.com,cheese,best_of_city_list,https://bowerscheese.com/,Longtime Eastern Market cheese stall named among the best cheese shops in Washington DC,2026-06-12
Cheesetique,Alexandria,VA,,cheese,best_of_city_list,https://dcist.com/story/13/09/04/the-five-stinkiest-cheese-shops-in-dc/,"Cheese boutique with 300 varieties sliced to order, named among the DC area's top cheese shops",2026-06-12
Arrowine & Cheese,Arlington,VA,,cheese,best_of_city_list,https://dcist.com/story/18/09/14/how-to-navigate-dcs-cheese-scene-fr/,Arlington wine-and-cheese shop cited among top cheesemonger destinations in the DC area,2026-06-12
Formaggio Kitchen,Cambridge,MA,,cheese,best_of_city_list,https://devourtours.com/blog/cheese-shops-boston/,Tops Boston best-of lists for years; owners source small-production cheeses worldwide and run their own cheese-aging cellar,2026-06-12
Bacco's Wine + Cheese,Boston,MA,,cheese,best_of_city_list,https://www.thefoodlens.com/boston/guides/cheese-shops/,Back Bay shop focused on sustainably made artisanal producers with knowledgeable cheesemongers,2026-06-12
Downtown Cheese,Philadelphia,PA,,cheese,cmi_competitor,https://www.inquirer.com/food/cheesemonger-invitational-winner-philadelphia-di-bruno-bros-downtown-cheese-20250715.html,Reading Terminal Market monger Max Lazary won the 2025 Cheesemonger Invitational while working at Downtown Cheese,2026-06-12
Claudio Specialty Foods,Philadelphia,PA,,cheese,best_of_city_list,https://www.phillymag.com/foobooz/cheese-shops-philadelphia/,Italian Market staple since the '50s known for house-made fresh mozzarella and whole-milk ricotta,2026-06-12
Chestnut Hill Cheese Shop,Philadelphia,PA,,cheese,best_of_city_list,https://www.phillymag.com/foobooz/2018/11/20/best-cheese-shops-philadelphia/,Iconic Germantown Avenue shop selling cheese for more than half a century,2026-06-12
The Grand Fromage,Skippack,PA,,cheese,best_of_city_list,https://www.phillymag.com/foobooz/cheese-shops-philadelphia/,"Skippack Village shop stocking 20+ blue cheeses with expert pairing advice, in Philly Mag's cheese guide",2026-06-12
Beautiful Rind,Chicago,IL,https://www.beautifulrind.com,cheese,events_programming,https://www.beautifulrind.com/,"Logan Square artisan cheese shop with private classroom, interactive cheese classes and expert pairings",2026-06-12
All Together Now,Chicago,IL,,cheese,best_of_city_list,https://www.cheeseprofessor.com/blog/6-chicago-cheese-places,"Ukrainian Village shop bringing cheese, wine and charcuterie together with rotating sheep and goat cheeses",2026-06-12
Maison Pasquale,Chicago,IL,https://maisonpasquale.com,cheese,existing_club_transition,https://maisonpasquale.com/products/wine-cheese-club-box,"Runs a monthly cheese club with two artisanal cheeses, accompaniments and a 10% member discount in-store",2026-06-12
The Truffle Cheese Shop,Denver,CO,https://www.denvertruffle.com,cheese,existing_club_transition,https://www.denvertruffle.com/shop/cheese-of-the-month-club,Denver's top cut-to-order shop running a monthly cheese club with three cheeses plus accompaniment,2026-06-12
St. Kilian's Cheese Shop & Market,Denver,CO,https://stkilianscheeseshop.com,cheese,existing_club_transition,https://stkilianscheeseshop.com/products/cheese-of-the-month-club,20-year Highlands cornerstone running a Cheese of the Month Club subscription,2026-06-12
Mondo Market,Denver,CO,,cheese,best_of_city_list,https://www.thedenverear.com/spots-cheese-denver/,"Artisan cheese, charcuterie and accoutrements shop named among Denver's best cheese spots",2026-06-12
Street Cheese,Seattle,WA,https://www.streetcheeseseattle.com,cheese,cmi_competitor,https://visitseattle.org/press/press-kit/artisanal-cheese-charcuterie/,"CCP cheesemonger Courtney Johnson (CMI Masters runner-up, Mondial du Fromage podium) opened this Beacon Hill shop with ~100 cheeses in fall 2025",2026-06-12
The Cheese Box,Seattle,WA,https://thecheesebox.market,cheese,best_of_city_list,https://thecheesebox.market/,"Pike Place Market cheese shop run by longtime market workers, named among Seattle's best cheese shops",2026-06-12
Big John's PFI,Seattle,WA,,cheese,best_of_city_list,https://visitseattle.org/press/press-kit/artisanal-cheese-charcuterie/,Named among Seattle's best cheese shops for its famed cut-to-order cheese counter,2026-06-12
The Cheesemonger's Shop,Leavenworth,WA,https://cheesemongersshop.com,cheese,existing_club_transition,https://cheesemongersshop.com/collections/cheese-of-the-month-club,Independent shop running a Cheese of the Month Club subscription,2026-06-12
Cowbell Cheesemonger,Portland,OR,https://www.cowbellpdx.com,cheese,best_of_city_list,https://www.cowbellpdx.com/,Fine artisan cheesemonger at the Rinella Produce Building rated among Portland's best cheese shops,2026-06-12
France 44 Cheese Shop,Minneapolis,MN,http://www.france44cheeseshop.com,cheese,cmi_competitor,https://culturecheesemag.com/news/2025-cheesemonger-invitational-competition-winner/,Monger Sophia Gates Stern placed top-3 at the 2025 Cheesemonger Invitational representing France 44,2026-06-12
St. Paul Cheese Shop,St. Paul,MN,https://www.stpaulcheeseshop.com,cheese,best_of_city_list,https://www.stpaulcheeseshop.com/,"France 44's Mac-Groveland sister shop with cut cheeses, meats and sandwiches",2026-06-12
Surdyk's Cheese Shop,Minneapolis,MN,https://www.surdykscheese.com,cheese,existing_club_transition,https://www.surdykscheese.com/cheese-of-the-month-club,"Minneapolis mainstay since 1979 with 150+ cut-to-order cheeses, running a 3/6/12-month Cheese of the Month Club",2026-06-12
Antonelli's Cheese Shop,Austin,TX,https://www.antonellischeese.com,cheese,existing_club_transition,https://www.antonellischeese.com/collections/cheese-club,Cut-to-order Austin shop running a monthly cheese club with tasting guides and exclusive tasting videos,2026-06-12
